local;A_bim;C_bim;C_ori;C_het;C_men;Hem_sp;H_mal;Hyp_sp;L_pia;O_nil;P_cal;P_viv;P_bre;P_fas;S_het;S_pia;S_not;T_gal
P1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;4;0
P2;6;1;2;11;0;0;0;1;0;0;8;0;0;9;52;8;9;0
P3;25;0;1;0;0;0;6;0;0;20;0;0;0;0;0;0;1;0
P4;16;0;5;0;0;0;5;0;0;11;0;0;0;0;0;1;3;0
P5;7;2;2;5;0;0;1;0;0;1;1;0;0;0;7;0;25;0
P6;14;2;7;5;0;0;3;0;0;5;0;0;0;0;19;33;0;0
P7;89;0;0;0;0;0;1;0;0;1;0;0;2;0;12;1;4;0
P8;55;0;0;0;0;0;1;0;0;6;1;0;0;0;13;0;0;0
P9;18;0;2;0;0;0;2;3;0;3;0;0;2;5;26;0;132;1
P10;32;1;4;3;0;0;2;0;0;1;0;0;2;1;8;0;10;0
P11;16;0;7;0;0;0;21;0;0;8;0;0;0;0;0;0;0;0
P12;2;0;0;0;0;0;15;0;0;12;0;0;0;0;0;0;0;0
P13;39;0;0;0;0;0;1;0;0;0;0;0;2;9;12;6;35;0
P14;51;0;0;1;0;0;3;0;0;0;0;0;0;1;0;5;10;0
P15;2;0;5;0;0;0;3;0;0;12;44;0;0;0;0;6;4;0
P16;5;0;8;17;0;0;1;0;2;5;34;1;0;1;13;37;7;0
P17;1;0;2;18;0;0;1;0;0;31;12;1;0;1;3;1;1;0
P18;43;0;0;0;0;0;0;0;0;7;0;5;0;0;0;0;0;0
P19;10;0;1;0;0;0;2;2;0;0;16;8;0;0;0;11;1;0
P20;28;1;0;0;0;0;3;0;0;0;10;24;0;0;0;26;0;0
P21;12;0;2;0;0;0;0;0;0;121;1;7;0;0;6;36;1;0
P22;9;0;0;0;0;0;0;0;0;0;1;11;0;2;7;0;4;0
T01;14;3;3;11;0;1;3;0;0;1;5;0;0;4;23;11;3;0
T02;15;3;0;0;0;0;0;0;0;1;2;0;0;27;27;5;0;0
T03;9;0;2;33;0;0;1;0;0;0;35;0;0;0;14;6;2;0
T04;21;0;0;12;0;0;0;0;0;3;35;0;0;0;20;5;3;0
T05;19;2;0;0;0;0;3;0;0;0;2;0;0;32;8;0;0;0
T06;24;2;1;14;0;0;0;0;0;0;54;0;0;0;18;0;10;0
T07;5;4;0;3;0;0;1;11;0;0;4;0;0;46;11;4;0;0
T08;13;1;0;2;0;0;0;1;0;2;24;0;0;7;51;4;2;0
T09;7;3;2;1;0;0;6;0;0;2;8;0;0;18;14;5;3;0
T10;22;10;4;28;0;0;8;0;0;11;49;0;0;13;48;4;7;0
T11;4;1;0;1;0;0;2;0;0;3;57;0;0;0;22;13;2;0
T12;8;0;7;2;0;0;2;0;0;4;46;0;0;8;12;4;4;0
T13;1;2;1;1;0;0;5;0;0;0;30;0;0;8;10;6;0;0
T14;9;0;0;1;0;0;1;0;0;2;49;0;0;0;11;10;1;0
T15;5;1;4;3;0;7;4;0;0;21;111;0;0;0;19;2;6;0
T16;4;0;2;0;0;0;1;0;3;0;16;0;0;7;26;10;12;0
T17;6;2;2;2;0;0;4;0;2;1;20;0;0;5;26;17;20;0
T18;15;3;3;6;0;6;4;0;0;1;16;0;0;0;49;14;6;0
T19;3;2;1;0;0;0;0;0;0;0;7;0;0;13;17;6;0;0
T20;2;0;0;0;0;0;0;0;0;0;15;0;0;7;8;1;1;0
T21;9;0;0;0;0;0;2;1;0;2;8;2;0;8;4;1;0;0
T22;49;0;3;0;0;0;0;1;0;0;13;0;0;25;11;6;0;0
T23;8;0;5;0;1;0;0;0;5;4;19;0;0;6;18;0;4;0
