local;Npredator;Abunpredator;Extension (m);Volume (m3);TEMP;SATU;DO;SALI;pH;DIV_G;MACR;TREE;DEAD;ROOT;SHAD;MVEG
P1;4;17;9.52;14.94;26.9;74.8;5.39;0.32;9.28;1.14;0;5;5;0;10;0
P2;10;107;35.36;117.17;26.7;72.6;5.29;0.3;9.56;1.27;5;5;15;5;5;5
P3;4;53;16.37;8.98;27.6;52.9;3.43;0.33;8.38;1.39;0;5;10;5;10;10
P4;6;41;17.95;22.03;25.8;19.3;1.19;0.25;7.86;0.8;0;25;30;60;80;75
P5;9;51;15.62;36.22;29.1;94.8;7.05;0.22;8.29;1.66;0;15;35;20;30;20
P6;8;88;93.21;131.85;27.7;67.5;5.06;0.23;8.11;1.25;0;50;70;60;60;80
P7;6;110;10.55;8.37;33.4;124.2;8.39;0.26;8.9;1.28;20;0;20;10;0;0
P8;3;76;15.26;9.75;33.8;141;9.94;0.36;9.11;1.56;0;5;30;0;10;20
P9;8;194;7.45;7.34;32.3;24.1;1.51;0.31;8.5;1.04;0;0;0;0;0;0
P10;8;64;35;78.7;31.9;132.4;9.39;0.24;9.23;1.43;0;0;30;5;15;10
P11;4;52;12.77;28.19;32.8;125.6;8.72;0.28;9.13;1.33;0;5;5;10;15;20
P12;3;29;12.5;6.75;24.5;131.1;10.52;0.35;7.42;1.21;0;20;40;15;70;50
P13;7;104;8.2;5.14;26.2;98.4;7.93;0.32;7.68;0.73;0;0;10;0;5;0
P14;6;71;12.25;9.02;28;105.4;7.47;0.35;8.66;1.57;0;0;30;0;0;10
P15;7;76;27.1;1560.9;27.8;96;7.27;0.23;8.13;1.25;10;45;60;30;50;60
P16;12;131;56.6;174.16;28.3;106;8.28;0.23;8.45;1.27;0;20;40;10;40;35
P17;12;72;63.6;182.23;27.2;72.3;5;0.21;7.11;0.67;10;50;50;60;70;85
P18;3;55;24.5;15.41;31.8;156.1;11.37;0.3;8.95;1.81;0;0;20;0;0;30
P19;7;51;10.25;4.56;31.8;109.1;7.39;0.28;8.62;1.08;0;10;20;5;30;40
P20;6;92;11.1;11.53;30.6;123.7;9.79;0.26;8.84;0.96;0;0;10;0;0;10
P21;8;186;30.1;58.78;31;135.1;9.84;0.28;9.04;1.68;0;5;10;0;30;15
P22;5;34;12.2;2.42;36;207.9;14.53;0.54;10.21;1.32;0;0;0;0;0;0
