local;Npredator;Abunpredator;Interactions;Specialization;Nestedness;Modularity
P1;4;17;7;0.92;0.89;0.22
P2;10;107;35;0.75;0.73;0.22
P3;4;53;13;0.88;0.67;0.22
P4;6;41;23;0.92;0.79;0.28
P5;9;51;26;0.83;0.62;0.24
P6;8;88;26;0.81;0.54;0.22
P7;6;110;13;0.86;0.29;0.38
P8;3;76;7;0.99;0.5;0.36
P9;8;194;22;0.58;0.59;0.13
P10;8;64;22;0.98;0.6;0.28
P11;4;52;27;0.52;0.7;0.09
P12;3;29;13;0.95;0.47;0.26
P13;7;104;37;0.84;0.74;0.16
P14;6;71;23;0.85;0.83;0.23
P15;7;76;45;0.8;0.8;0.09
P16;12;131;62;0.64;0.86;0.13
P17;12;72;51;0.71;0.81;0.18
P18;3;55;15;0.88;0.51;0.3
P19;7;51;29;0.72;0.89;0.2
P20;6;92;27;0.68;0.87;0.14
P21;8;186;38;0.46;0.89;0.11
P22;5;34;19;0.61;0.81;0.2
